Beer,Origin,Style,ABV,Ratings
Ommegang Abbey Ale,NY,Belgian Strong Ale,8.5%,3.972
New Belgium Lips of Faith Le Terroir,CO,Wild Ale,7.5%,3.970
Pizza Port Frank Double IPA,CA,Imperial IPA,9.5%,3.969
Alchemist Heady Topper,VT,Imperial IPA,8%,3.969
Russian River Blind Pig IPA,CA,IPA,6%,3.968
Firestone Walker Double Jack,CA,Imperial IPA,9.5%,3.968
New Glarus Unplugged Iced Barley Wine,WI,American Barleywine,13.5%,3.965
Foothills Sexual Chocolate Imperial Stout,NC,Imperial Stout,10%,3.965
Stone Bourbon Barrel Russian Imperial Stout,CA,Imperial Stout,10%,3.962
Alaskan Smoked Porter,AK,Smoked Ale,6.2%,3.956
Avery Mephistopheles Stout,CO,Imperial Stout,16%,3.956
Alpine Beer Company Exponential Hoppiness,CA,Imperial IPA,10.75%,3.956
The Bruery Black Tuesday,CA,Imperial Stout,19.5%,3.956
Deschutes Black Butte XXIV,OR,Imperial Porter,10.8%,3.956
Anchor Porter,CA,Porter,5.6%,3.954
Port Brewing Hop 15,CA,Imperial IPA,9.7%,3.952
Southern Tier Imperial Mokah,NY,Imperial Stout,11%,3.952
Stone Sublimely Self-Righteous Ale,CA,American Black Ale,8.7%,3.951
Goose Island Bourbon County Coffee Stout,IL,Imperial Stout,13%,3.950
Lagunitas Sucks Holiday Ale,CA,Strong Ale,7.6%,3.948
Three Floyds Behemoth Barleywine,IN,American Barleywine,11.3%,3.947
Boulevard Imperial Stout,MO,Imperial Stout,-,3.947
Allagash Interlude,ME,Saison,9.5%,3.946
Avery The Maharaja Imperial IPA,CO,Imperial IPA,9.9%,3.945
Stoudts Fat Dog Stout (Vintages 2004 and later),PA,Imperial Stout,9%,3.945
Three Floyds Alpha Klaus Christmas Porter,IN,Porter,7.5%,3.944
Great Lakes Blackout Stout,OH,Imperial Stout,9%,3.943
Southern Tier Jah-va Imperial Coffee Stout,NY,Imperial Stout,12%,3.943
Central Waters Brewer's Reserve Bourbon Barrel Barleywine,WI,American Barleywine,-,3.943
Town Hall Masala Mama IPA,MN,IPA,6%,3.943
Samuel Adams Utopias,MA,English Barleywine,25%,3.942
Deschutes Black Butte XX,OR,Imperial Porter,11%,3.941
Fish Tale Poseidons Imperial Stout,WA,Imperial Stout,10%,3.940
Iron Hill Russian Imperial Stout,DE,Imperial Stout,9.5%,3.940
Great Divide Belgian Style Yeti,CO,Imperial Stout,9.5%,3.940
AleSmith Grand Cru,CA,Belgian Strong Ale,10.5%,3.938
Lost Abbey Red Poppy Ale,CA,Flanders Red,5.5%,3.936
Boulevard Saison Brett,MO,Saison,8.5%,3.935
Stone Arrogant Bastard Ale,CA,Strong Ale,7.2%,3.933
Cigar City Marshal Zhukovs Russian Imperial Stout,FL,Imperial Stout,11%,3.933
Samuel Adams Millennium,MA,Strong Ale,20%,3.930
Kuhnhenn Raspberry Eisbock,MI,Fruit Beer,18%,3.928
Ballast Point Sculpin IPA,CA,IPA,7%,3.927
Stone 09.09.09 Vertical Epic Ale,CA,Belgian Strong Ale,8.7%,3.925
Lost Abbey Serpents Stout,CA,Imperial Stout,11%,3.923
Dogfish Head Palo Santo Marron,DE,Strong Ale,12%,3.919
Port Brewing Old Viscosity,CA,Strong Ale,10.5%,3.919
Sierra Nevada Narwhal Imperial Stout,CA,Imperial Stout,10.2%,3.919
AleSmith Decadence 2006 (Imperial Evil Dead Red Ale),CA,Strong Ale,9.9%,3.919
Stone 12.12.12 Vertical Epic Ale,CA,Belgian Strong Ale,9%,3.919
Rogue Hazelnut Brown Nectar,OR,Brown Ale,6.22%,3.916
Hair of the Dog Doggie Claws,OR,American Barleywine,11.5%,3.915
Cigar City Hunahpu's Imperial Stout,FL,Imperial Stout,11%,3.913
Fish Tale Leviathan Barleywine,WA,American Barleywine,10%,3.912
Dogfish Head Olde School Barleywine,DE,American Barleywine,15%,3.910
Hair of the Dog Matt Commemorative Ale,OR,Strong Ale,11.5%,3.910
Lagunitas Hop Stoopid Ale,CA,Imperial IPA,8%,3.909
MacTarnahans Bourbon Cask Aged Blackwatch Cream Po,OR,Porter,6%,3.909
Central Waters Peruvian Morning Imperial Stout,WI,Imperial Stout,8%,3.908
Deschutes Black Butte XXI,OR,Imperial Porter,11%,3.908
Weyerbacher Double Simcoe IPA,PA,Imperial IPA,9%,3.905
Troutbrook Thomas Hooker Liberator,CT,Doppelbock,8%,3.905
Ommegang Hennepin,NY,Saison,7.5%,3.902
Boulevard Bourbon Barrel Quad,MO,Abbey Quadrupel,11.8%,3.900
Three Floyds Zombie Dust,IN,American Pale Ale,6.2%,3.900
Hair of the Dog Fred from the Wood,OR,English Barleywine,10%,3.900
Deschutes Conflux No. 1 - Collage,OR,Strong Ale,11.5%,3.900
Midnight Sun Berserker Imperial Stout,AK,Imperial Stout,10.4%,3.900
Lagunitas B3K,CA,Strong Ale,11.3%,3.900
Hoppin' Frog Barrel Aged Naked Evil,OH,English Barleywine,11.3%,3.900
Oggi's Hop Whompus,CA,Imperial IPA,9%,3.900
New Glarus R & D Bourbon Barrel Kriek,WI,Fruit Beer,5.5%,3.900
Alpine Beer Company Pure Hoppiness,CA,Imperial IPA,8%,3.896
The Duck-Rabbit Baltic Porter,NC,Baltic Porter,9%,3.894
AleSmith Barrel Aged Wee Heavy,CA,Scottish Ale,10%,3.892
Nectar Ales Black Xantus,CA,Imperial Stout,11%,3.892
