Beer,Origin,Style,ABV,Ratings
Flying Fish Exit 8,NJ,Strong Ale,8.3%,3.383
Widmer Brothers SXNW: South By North West,OR,Spiced Beer,9.3%,3.383
Real Ale Brewers Cut Black Quad,TX,Abbey Quadrupel,10.8%,3.383
Arcadia Bourbon Barrel Aged Imperial Stout,MI,Imperial Stout,12%,3.383
Lake Louie Louie's Reserve Scotch Ale,WI,Scottish Ale,9%,3.382
Schlafly No. 15,MO,Spiced Beer,6%,3.382
Bell's Harry Magill's Spiced Stout,MI,Stout,8%,3.382
Berkshire Coffeehouse Porter,MA,Porter,6.2%,3.382
New Belgium 2 Below Winter Ale,CO,English Strong Ale,6.6%,3.381
The Bruery Orchard White,CA,Witbier,5.7%,3.381
McMenamins Hammerhead Ale,OR,American Pale Ale,4.7%,3.380
21st Amendment Fireside Chat,CA,Spiced Beer,7.9%,3.380
Saugatuck ESB Amber,MI,Extra Special Bitter,5.5%,3.380
Bear Republic Crazy Ivan,CA,Belgian Ale,6.9%,3.380
Green Flash 5th Anniversary Double IPA,CA,Imperial IPA,8.5%,3.380
Great Lakes Cleveland Brown Ale,OH,Brown Ale,6%,3.380
Mendocino Winter Ale (06/07 - Oatmeal Stout),CA,Oatmeal Stout,7%,3.380
Goose Island Christmas Ale 2009,IL,Spiced Beer,8%,3.380
5 Seasons North Duck-billed Platypus Belgian Pale Ale,GA,Belgian Ale,5.5%,3.380
Jackie O's Mystic Mama,OH,IPA,-,3.380
Kuhnhenn Bourbon Barrel Fourth Dementia Old Ale,MI,Old Ale,11%,3.380
Drake's Jolly Rodger (2006),CA,Imperial IPA,-,3.380
The Tap Leatherlips IPA,MA,IPA,5%,3.380
Hinterland Pub Draught,WI,English Pale Ale,-,3.380
Great Basin Hop Head,NV,Imperial IPA,8.5%,3.380
Davidson Brothers Oatmeal Stout,NY,Oatmeal Stout,-,3.380
Voodoo Black Magick,PA,Imperial Stout,15%,3.380
Flying Fish Iced Oaked Oktoberfish,NJ,Eisbock,10%,3.380
Titletown Smashing Pumpkin Ale,WI,Spiced Beer,-,3.380
Karl Strauss Boardwalk Black Rye,CA,Rye Beer,8%,3.380
Thunder Canyon Thunderhead IPA,AZ,IPA,-,3.380
Ice Harbor Harvest Pale Ale,WA,American Pale Ale,6.2%,3.380
Red Eye Imperium Rye IPA,WI,Imperial IPA,-,3.380
Titletown Batch 800 Abbey Ale,WI,Abbey Dubbel,-,3.380
Alpine Beer Company O'Brien's IPA,CA,IPA,6%,3.380
Real Ale Roggenbier,TX,Rye Beer,4.9%,3.380
Franconia Notch Grail Pale Ale,NH,English Pale Ale,-,3.380
Evans Kick-Ass Brown Ale,NY,Brown Ale,5.3%,3.380
Titletown Autumn Rye,WI,Rye Beer,-,3.380
Great Adirondack Abbey Ale,NY,Abbey Dubbel,6.9%,3.380
Olde Hickory Black Raven IPA,NC,American Black Ale,7%,3.380
Heavyweight Bock-Bock,NJ,Doppelbock,8%,3.380
Two Brothers Resistance India Pale Ale,IL,IPA,6.9%,3.380
Coast Barrel Aged Blackbeerd Imperial Stout (Jack Daniels Barrel),SC,Imperial Stout,9.3%,3.380
Ommegang Tripel Perfection,NY,Abbey Tripel,8.9%,3.380
Cascade Dark Day IPA,OR,American Black Ale,6.5%,3.380
Big Dog Dopple Weizen,NV,Doppelbock,8%,3.380
Dust Bowl Stout,CA,Oatmeal Stout,5.6%,3.380
Crooked River Kolsch Ale,OH,Kölsch,4.7%,3.380
North Coast Old Rasputin XI,CA,Imperial Stout,11.6%,3.380
Independence Imperial Stout,PA,Imperial Stout,8%,3.380
Boneyard RPM IPA,OR,IPA,7.5%,3.380
Real Ale Hans' Pils,TX,Bohemian / Czech Pilsener,5.3%,3.380
Johnstown Steel Worker Stout,PA,Dry Stout,4.3%,3.380
Captain Lawrence Imperial India Pale Ale,NY,Imperial IPA,-,3.380
Titletown Scream Stout,WI,Milk Stout,-,3.380
Oakshire Ill-Tempered Gnome,OR,Brown Ale,6.8%,3.380
Santa Barbara Black Ice Imperial Stout,CA,Imperial Stout,9%,3.380
Chattanooga Hill City India Pale Ale,TN,IPA,6.3%,3.380
Valley Brew Decadence 10,CA,Abbey Tripel,10.8%,3.380
Mammoth Bluesapalooza Imperial Stout,CA,Imperial Stout,9%,3.380
Moylan's Kilt Lifter (Stillwater Barrel Aged),CA,Scottish Ale,8%,3.380
Little Apple Rileys Red Ale,KS,Amber Ale,5.5%,3.380
Terrapin Side Project Volume 16: Phlux Capacitor,GA,Strong Ale,9.8%,3.380
English Ales Edinburgh Winter Ale Special Reserve,CA,Spiced Beer,7%,3.380
5 Seasons North Venus,GA,Witbier,4.8%,3.380
Blackhorse Barnstormer Red Ale,TN,Amber Ale,-,3.380
John Harvards Espresso Stout,MA,Coffee Stout,-,3.380
Bend Hop Head Imperial IPA,OR,Imperial IPA,-,3.380
Rogue Skullsplitter,OR,Schwarzbier,9%,3.380
Stewarts Bourbon Stout,DE,Stout,5.9%,3.380
Basil T Rocket Red Ale,NJ,Amber Ale,5%,3.380
Golden Valley IPA Vs Brut,OR,IPA,5.8%,3.380
Alameda Yellow Wolf Imperial IPA,OR,Imperial IPA,8.2%,3.380
Hales India Pale Ale,WA,IPA,-,3.380
Hopworks Organic Secession Cascadian Dark Ale,OR,American Black Ale,6.5%,3.380
Terminal BrewHouse Weiss n Shine Hefeweizen,TN,Hefeweizen,-,3.380
Valley Brew Luna Blanca,CA,Witbier,5.4%,3.380
Craftsman Declaration of Independence Ale,CA,Strong Ale,8.5%,3.380
Red Brick Cherry Chocolate Porter,GA,Fruit Beer,6.2%,3.380
Green Flash Seranno Chili Double Stout,CA,Imperial Stout,8.8%,3.380
Harpoon Saison Various #47 (100 barrel series),MA,Saison,6.1%,3.380
Shipyard Black IPA,ME,American Black Ale,5.7%,3.380
High Water Campfire Stout,CA,Stout,7.3%,3.380
Due South Pico Duarte Imperial Stout,FL,Imperial Stout,9.1%,3.380
The Commons Biere Royale,OR,Fruit Beer,5.5%,3.380
Sierra Nevada Audition Session IPA,CA,IPA,-,3.380
3 Sheeps Rebel Kent,WI,Amber Ale,5%,3.380
Weyerbacher Sour Black,PA,Wild Ale,5.1%,3.380
Ranger Creek Small Batch Series No. 5,TX,Doppelbock,-,3.380
Cigar City/B. Nektar Camp Braggot Ghost Stories,FL,Mead,10%,3.380
Summit Maibock,MN,Bock,6.5%,3.379
Lagunitas Cruising with Ruben and The Jets,CA,Imperial Stout,8.6%,3.379
Butte Creek Organic Porter,CA,Porter,6.1%,3.378
Samuel Adams Vienna Style,MA,Vienna / Amber Lager,-,3.378
Samuel Adams Latitude 48 Deconstructed IPA - Ahtanum,MA,IPA,6%,3.378
Fort Collins Red Banshee,CO,Amber Ale,5.3%,3.378
Flying Dog Wild Dog Weizenbock,MD,Weizenbock,8%,3.378
Saranac Scotch Ale,NY,Scottish Ale,-,3.378
Blue Frog Red Frog Ale,CA,Amber Ale,6%,3.378
Arcadia Starboard Stout,MI,Oatmeal Stout,5.6%,3.378
Rogue Love and Hoppiness,OR,Bohemian / Czech Pilsener,5.83%,3.378
McCoys Newcombs IPA,MO,IPA,6%,3.378
The Duck-Rabbit Barleywine,NC,English Barleywine,11%,3.377
The Bruery Black Orchard,CA,Belgian Ale,5.7%,3.377
MacTarnahans Gran Luxe Tripel Ale,OR,Abbey Tripel,9.3%,3.377
Stoudts Weizen,PA,Hefeweizen,5%,3.376
Goose Island Black Toad Dark Ale,NV,Porter,-,3.375
The Bruery Autumn Maple,CA,Spiced Beer,10%,3.375
Wild Goose Snow Goose Winter Ale,MD,English Strong Ale,5.9%,3.375
Choc Basement Batch,OK,American Pale Ale,6.4%,3.375
Brewery Hill Pocono Caramel Porter,PA,Porter,-,3.375
AleSmith My Bloody Valentine,CA,Amber Ale,6.66%,3.375
Lake Louie Brother Tim's Tripel,WI,Abbey Tripel,-,3.375
Scuttlebutt Triple 7 Belgian-style Ale,WA,Abbey Tripel,8.96%,3.375
Boyne River Brown Ale,MI,Brown Ale,-,3.375
Gritty McDuffs Best Bitter,ME,Bitter,4.8%,3.375
21st Amendment Sneak Attack,CA,Saison,6.2%,3.375
Deschutes Chasin' Freshies,OR,IPA,7.2%,3.375
Rock Bottom Great White Wheat,CO,American Wheat,4.1%,3.375
5 Seasons Westside Mr. Breakfast Oatmeal Porter,GA,Porter,-,3.375
Red Brick 15th Anniversary,GA,Brown Ale,9%,3.375
Flat Branch Raspberry Brown,MO,Fruit Beer,4.7%,3.375
John Harvards Black Widow Lager,MA,Schwarzbier,6%,3.375
The Bruery BeRazzled,CA,Fruit Beer,5%,3.375
Smoky Mountain Harvest Fest,TN,Marzen / Oktoberfest,5.8%,3.375
Skull Coast Gallows Point Dead Man's Porter,SC,Porter,7%,3.375
Willimantic EurIPAen IPA,CT,IPA,6.5%,3.375
Wedge Pilsner,NC,Bohemian / Czech Pilsener,5%,3.375
Flossmoor Station Break the Curse Weizen Bock,IL,Weizenbock,-,3.375
Firestone Walker Velvet Merkin,CA,Oatmeal Stout,8.5%,3.375
Deschutes Black Butte XXII,OR,Imperial Porter,11%,3.375
Warbird Warhawk Pale Ale,IN,American Pale Ale,-,3.375
English Ales 1066 English Pale Ale,CA,English Pale Ale,6%,3.375
5 Seasons Westside Scotch Abbey Ale,GA,Scottish Ale,10%,3.375
McKenzie Avec Les Bons Voeux,PA,Saison,8.8%,3.375
Ommegang Fruit Funk,NY,Wild Ale,6.5%,3.375
O'Dempsey's Your Black Heart,SC,Imperial Stout,8%,3.375
Deschutes Whispering Wee Heavy Scottish Ale,OR,Scottish Ale,6.3%,3.375
Medovina Sweet Melissa,CO,Mead,14%,3.375
Upstream Grand Cru,NE,Belgian Strong Ale,9%,3.375
Weasel Boy Bourbon Barrel Aged Anastasia Russian Imperial Stout,OH,Imperial Stout,8.8%,3.375
Cigar City Rum Barrel Aged Hunahpu's Imperial Stout,FL,Imperial Stout,11%,3.375
General Lafayette 275th Anniversary Ale,PA,English Barleywine,13.1%,3.375
Fish Tale Barrel Aged Leviathan Barleywine,WA,American Barleywine,10%,3.375
Brooklyn Cuvée Elijah,NY,Belgian Strong Ale,10%,3.375
Cascade Nightfall,OR,Wild Ale,8%,3.375
Firestone Walker Helldorado,CA,American Barleywine,11.7%,3.375
5 Seasons No Blarney Stout,GA,Dry Stout,5.5%,3.375
Freetail 4Shadow,TX,Smoked Ale,7%,3.375
Thirsty Bear Bearly Legal Barley Wine,CA,American Barleywine,10%,3.375
Fish Tale Barrel Aged Poseidons Imperial Stout,WA,Imperial Stout,10%,3.375
Good Nature Brewing Irish Whiskey Porter,NY,Imperial Porter,8.2%,3.375
Freetail Bourbon Barrel Aged La Muerta,TX,Imperial Stout,11.4%,3.375
Allagash Innoculator,ME,Belgian Strong Ale,9.2%,3.375
The Bruery Humulus Lager,CA,Imperial Pilsener,7.4%,3.375
Fat Heads Imperial Head Hunter IPA,OH,Imperial IPA,9.7%,3.375
75th Street Summit Street IPA,MO,IPA,-,3.375
B.O.B. Celestial Stout,MI,Coffee Stout,7.5%,3.375
Freetail Até,TX,Wild Ale,4.9%,3.375
Breakwater Mavericks Double IPA,CA,Imperial IPA,8.7%,3.375
Revolution Barrel Aged Sodom,IL,Imperial Stout,-,3.375
Bull & Bush Big Ben Brown Ale,CO,Brown Ale,-,3.375
North By Northwest Belgian Sour,TX,Wild Ale,5%,3.375
Social Kitchen The Big Lebowski White Prussian,CA,Strong Ale,9.2%,3.375
Paper City Smoked Porter,MA,Porter,-,3.375
The Bruery Smoking Wood - Bourbon Barrel,CA,Imperial Porter,13%,3.375
Smuttynose Durty Mud Seasonal Hoppy Brown Ale,NH,American Black Ale,8.4%,3.375
Twains Koko Buni Porter,GA,Porter,6.5%,3.375
Goose Island Cherry Rye Bourbon County Stout,IL,Imperial Stout,13.9%,3.375
Hardywood Park Sidamo Coffee Stout,VA,Imperial Stout,9.3%,3.375
Studio Brew Bourbon Barrel Aged Robust Porter,TN,Imperial Porter,8.75%,3.375
Wicked Weed Vixen Bourbon Aged Stout,NC,Imperial Stout,8.6%,3.375
Avery Barrel-Aged Series 17: Thensaurum,CO,Wild Ale,10.89%,3.375
Jason Fields & Ken Sheppard / Troegs / Stone Rye Whiskey Barreled Cherry Chocolate Stout,CA,Imperial Stout,-,3.375
Gizmo Black Stiletto Stout,NC,Stout,6.7%,3.375
Westbrook Shane's Big DIPA,SC,Imperial IPA,9.6%,3.375
Pizza Port Bourbon Barrel Aged Night Rider,CA,Imperial Stout,11%,3.375
Crux Tough Love,OR,Imperial Stout,11.5%,3.375
Three Taverns Feest Noel,GA,Abbey Quadrupel,9%,3.375
Brooklyn Jonge Kriek,NY,Wild Ale,10.3%,3.375
Deschutes Big Red,OR,Strong Ale,9.3%,3.375
Cherry Street Dylans Dubbel,GA,Abbey Dubbel,7%,3.375
Firestone Walker 17,CA,Strong Ale,13.3%,3.375
Goose Island Casimir,IL,Smoked Ale,5.6%,3.375
Green Man The Demon Dweller,NC,Imperial Stout,10%,3.375
Trinity Pineapple Head Sour Saison,CO,Wild Ale,-,3.375
Olde Hickory The Event Horizon,NC,Imperial Stout,8.5%,3.375
Wild Heaven Eschaton Pinot Noir,GA,Abbey Quadrupel,10.5%,3.375
The Burnt Hickory Die Kreuzen,GA,Imperial Porter,8%,3.375
Hill Farmstead Society and Solitide #7,VT,Imperial IPA,8%,3.375
Blackberry Farm Screaming Cock Dubbel,TN,Abbey Dubbel,6%,3.375
Ballast Point Habanero Sculpin,CA,Spiced Beer,7%,3.375
Due South One Night in Ybor,FL,Scottish Ale,7.9%,3.375
Blackberry Farm Heart of Darkness Oak-Aged Belgian Strong Dark Ale,TN,Belgian Strong Ale,11%,3.375
Wrecking Bar Wreck-o-lantern Imperial Smoked Rye Pumpkin Ale,GA,Rauchbier,7.8%,3.375
Due South/Tomoka Ginger Snap Imperial Brown,FL,Spiced Beer,8.5%,3.375
Lost Coast Alleycat Amber Ale,CA,Amber Ale,4.8%,3.374
Weyerbacher Prophecy,PA,Belgian Strong Ale,9.3%,3.374
New Glarus Stone Soup,WI,Belgian Ale,-,3.373
Mendocino Black Eye Ale,CA,Stout,6.5%,3.373
Hook & Ladder Backdraft Brown Ale,MD,Brown Ale,5%,3.373
Founders Cerise,MI,Fruit Beer,6.5%,3.373
Sierra Nevada Nuthin In Common,CA,California Common / Steam,6.2%,3.373
Saranac ESB,NY,Extra Special Bitter,-,3.373
New Belgium Rampant Imperial IPA,CO,Imperial IPA,8.5%,3.373
Maui Mana Wheat,HI,American Wheat,5.8%,3.373
Widmer Brothers Alchemy Ale,OR,American Pale Ale,5.8%,3.373
He'Brew Genesis Ale,CA,American Pale Ale,6%,3.372
New England Sea Hag IPA,CT,IPA,6.2%,3.371
Widmer Brothers Snow Plow,OR,Milk Stout,5.5%,3.371
Yards Love Stout,PA,Oyster Stout,5%,3.371
Casco Bay Old Port Ale,ME,English Strong Ale,7.3%,3.371
Far West Hedgerow Red Ale,WA,Amber Ale,5.5%,3.371
New Belgium Lips of Faith Imperial Berliner Weisse,CO,Berliner Weisse,7%,3.371
Blue Ridge Sublimator,MD,Doppelbock,6.75%,3.371
DeGroens Doppelbock,DE,Doppelbock,8.5%,3.371
Caldera Ashland Amber Ale,OR,Amber Ale,5.6%,3.371
Ramstein Pale Ale,NJ,American Pale Ale,6.2%,3.371
Stillwater Import Series Vol. 2 A Saison Darkly,MD,Saison,8%,3.371
Town Hall Black H2O Oatmeal Stout,MN,Oatmeal Stout,6.2%,3.371
Napa Smith Bonfire Imperial Porter,CA,Imperial Porter,8%,3.371
Heavyweight Pegalina Pale Ale,NJ,IPA,7%,3.371
Fort Collins Spring Bock,CO,Bock,9%,3.371
Paper City Winter Palace Wee Heavy,MA,Scottish Ale,-,3.371
Ithaca Double IPA,NY,Imperial IPA,10%,3.371
Cooperstown Striker Brown Ale,NY,Brown Ale,-,3.371
Wachusett Summer Breeze,MA,American Wheat,-,3.371
Heavyweight Golden Idol,NJ,Belgian Ale,6.2%,3.371
Wachusett Octoberfest,MA,Marzen / Oktoberfest,-,3.371
Southern Tier 2x Steam Double Uncommon,NY,California Common / Steam,8%,3.371
Blue Point Toxic Sludge,NY,American Black Ale,7%,3.371
Rogue Morimoto Soba (Buckwheat Ale),OR,Spiced Beer,4.8%,3.370
Red Brick Peachtree Pale Ale,GA,American Pale Ale,-,3.370
Widmer Brothers Winternacht,OR,Altbier,7%,3.370
Mad River Double Dread Imperial Red,CA,Strong Ale,8.6%,3.370
Samuel Adams Long Shot A Dark Night in Munich,MA,Dunkel / Dark Lager,5.9%,3.370
Humboldt IPA,CA,IPA,5.28%,3.370
Christian Moerlein Barbarossa Double Dark Lager,OH,Dunkel / Dark Lager,5%,3.370
Barrel House Cumberland Pale Ale,OH,American Pale Ale,4.9%,3.370
Drake's Port Barrel Imperial Stout,CA,Imperial Stout,11%,3.370
Marin Old Dipsea Barleywine,CA,American Barleywine,9%,3.370
Sierra Nevada Blindfold,CA,American Black Ale,7%,3.370
Sierra Nevada India Pale Ale,CA,IPA,6.9%,3.369
Eel River Organic Porter,CA,Porter,6.3%,3.369
Samuel Adams Rustic Saison,MA,Saison,4.35%,3.369
New Belgium Lips of Faith Brett Beer,CO,Wild Ale,7.5%,3.369
Avery Redpoint Ale,CO,Amber Ale,5.1%,3.368
Lagunitas Lumpy Gravy,CA,Strong Ale,7.2%,3.368
Saranac IPA,NY,IPA,5.8%,3.367
Magic Hat Heart of Darkness Stout,VT,Oatmeal Stout,5.3%,3.367
Grand Lake Plaid Bastard,CO,Scottish Ale,8%,3.367
Berghoff Genuine Dark,WI,Vienna / Amber Lager,5.4%,3.367
Flying Fish Porter,NJ,Porter,5.5%,3.367
Dicks Imperial Stout,WA,Imperial Stout,7.5%,3.367
Weyerbacher Verboten,PA,Belgian Ale,5.9%,3.367
Rush River The Unforgiven Amber Ale,WI,Amber Ale,5.8%,3.367
Stoudts Smooth Hoperator,PA,Doppelbock,7%,3.367
Sand Creek Oleator Dopplebock,WI,Doppelbock,10.2%,3.367
Evil Twin / Stillwater / Stone - The Perfect Crime,CA,Saison,6.8%,3.367
Magnolia Promised Land Imperial IPA,CA,Imperial IPA,8.6%,3.367
Pisgah Pale Ale,NC,American Pale Ale,6%,3.367
Capitol City Imperial IPA,DC,Imperial IPA,9%,3.367
Marble City Spiced Pumpkin Ale,TN,Spiced Beer,-,3.367
Stoudts Barrel Aged Old Abominable,PA,English Barleywine,9%,3.367
Pisgah Solstice Tripel,NC,Abbey Tripel,9.5%,3.367
Downtown Blonde Ale,TN,Kölsch,-,3.367
Silver City Fat Bastard Scotch Style Ale,WA,Scottish Ale,5.3%,3.367
Capitol City Scottish Export Ale,DC,Scottish Ale,5.2%,3.367
Titletown Maibock,WI,Bock,7.2%,3.367
Back Road Blueberry Ale,IN,Fruit Beer,5%,3.367
Magic Hat Batch 370,VT,Hefeweizen,5%,3.367
Stewarts Kolsch,DE,Kölsch,5%,3.367
DuClaw Serum,MD,Imperial IPA,8%,3.367
Oxford Class Ale,MD,Amber Ale,4.8%,3.367
Midnight Sun Fallen Angel,AK,Belgian Strong Ale,8%,3.367
Humboldt Victorias Triple Belgian Ale,CA,Abbey Tripel,8.9%,3.367
Austin Beerworks Black Thunder,TX,Schwarzbier,5.2%,3.367
McNeills Pullmans Porter,VT,Porter,-,3.367
Midnight Sun Full Curl Scotch Style Ale,AK,Scottish Ale,-,3.367
Heavyweight Ch-Chuck,NJ,Flanders Oude Bruin,6.4%,3.367
Midnight Sun Obliteration II,AK,Imperial IPA,8.3%,3.367
Saranac Rye IPA,NY,IPA,5.95%,3.367
Nectar Ales Hemp Ale,CA,Brown Ale,5.7%,3.367
Old Dominion Black & Tan,DE,Stout,4.7%,3.367
Kuhnhenn Simcoe Silly Ale,MI,Belgian Strong Ale,9.2%,3.367
Triple Rock IPAX (CXIPA),CA,IPA,6.7%,3.367
Bethlehem Brew Works Pêche Lambic,PA,Fruit Lambic,6.2%,3.367
Stone Lees Mild,CA,Brown Ale,3.7%,3.367
Iron Hill Black Forest Lager,DE,Dunkel / Dark Lager,5.2%,3.367
Squatters Big Cottonwood,UT,Amber Ale,5.75%,3.367
The Brew Kettle Ruddy Rye,OH,Rye Beer,5.5%,3.367
Prairie Artisan Ales Wine Barrel Noir,OK,Imperial Stout,11%,3.367
Avery Twenty,CO,Imperial IPA,9.7%,3.367
Goose Island The Illinois,IL,Imperial IPA,9%,3.367
The Brew Kettle One Eyed Jack,OH,Porter,6.5%,3.367
He'Brew Death of a Contract Brewer,CA,American Black Ale,7%,3.367
Lagerheads Savage Stout,OH,Stout,6.4%,3.367
New Belgium Fat Tire,CO,Amber Ale,5.3%,3.366
Bells Winter White,MI,Witbier,4.5%,3.365
Bridgeport  Ebenezer Ale,OR,English Strong Ale,6.2%,3.365
River Horse Tripel Horse,NJ,Abbey Tripel,10%,3.364
Lake Louie Warped Speed Scotch Ale,WI,Scottish Ale,-,3.364
Pelican Dorymans Dark Ale,OR,Brown Ale,5.8%,3.364
Iron Hill Anvil Ale,DE,English Pale Ale,5%,3.364
Cooperstown Nine Man,NY,American Pale Ale,4.3%,3.364
Capital Special Pilsner,WI,Bohemian / Czech Pilsener,-,3.364
Capitol City Kolsch,DC,Kölsch,-,3.364
Columbus IPA,OH,IPA,6%,3.363
Harpoon ESB,MA,Extra Special Bitter,5.5%,3.363
Iron Hill Maibock,DE,Bock,-,3.363
Westbrook IPA,SC,IPA,6.8%,3.363
Caldera IPA,OR,IPA,6.3%,3.362
New Holland Existential Hopwine,MI,American Barleywine,10.5%,3.362
Odell Extra Special Red Ale,CO,Strong Ale,8%,3.362
Captain Lawrence Smoke from the Oak (Rum Barrel),NY,Porter,6.4%,3.362
Ithaca Ten Double Red,NY,Strong Ale,10%,3.362
Saranac Big Moose Ale,NY,American Pale Ale,5.3%,3.362
Humboldt Winter Nectar,CA,Extra Special Bitter,6.2%,3.362
Anchor Our Special Ale 1999,CA,Spiced Beer,5.5%,3.362
Dogfish Head Ta Henket,DE,Ale,4.5%,3.362
Epic Smoked & Oaked Belgian Strong Ale,UT,Belgian Strong Ale,10.5%,3.362
Siletz Redhead Ale,OR,Irish Ale,4.5%,3.362
Weyerbacher 14,PA,Wheatwine,11.8%,3.362
New Glarus Unplugged Smoked Rye Bock,WI,Smoked Ale,12%,3.362
Downtown Woodruff IPA,TN,IPA,-,3.362
Bridgeport Hop Czar Imperial IPA,OR,Imperial IPA,8%,3.361
Harpoon Ale,MA,American Pale Ale,4.9%,3.360
Rogue Black Brutal,OR,Schwarzbier,9%,3.360
Marin Hoppy Holidaze,CA,Spiced Beer,7.5%,3.360
Dicks Barley Wine,WA,American Barleywine,10%,3.360
Samuel Adams Norse Legend,MA,Strong Ale,7%,3.360
New Holland Rye Hatter,MI,Rye Beer,6.12%,3.360
Great Dane Potters Run IPA,WI,IPA,-,3.360
Iron Hill Bourbon Russian Stout,DE,Imperial Stout,8.6%,3.360
Southern Star Walloon,TX,Belgian Ale,-,3.360
Fish Tale Starfish Imperial Red,WA,Strong Ale,7.5%,3.360
El Toro Deuce,CA,Imperial IPA,7.5%,3.360
Valley Brew Black Cat Whiskey Barrel Stout,CA,Dry Stout,8%,3.360
High Water No Boundary IPA,CA,IPA,6.5%,3.360
Norwester Smith Rock Bock,OR,Bock,7.3%,3.360
Lucky Labrador Crazy Ludwigs Alt,OR,Altbier,-,3.360
Triple Rock Bunny's Toe,CA,American Barleywine,10.5%,3.360
Sweetwater Ron Burgundy,GA,Scottish Ale,8%,3.360
Flagstaff Bitterroot Extra Special Bitter,AZ,Extra Special Bitter,5%,3.360
OHaras Sids Irish Stout,MN,Dry Stout,-,3.360
Free State Lemon Grass Rye,KS,Rye Beer,-,3.360
The Bruery Imperial Orchard White,CA,Witbier,7.7%,3.360
21st Amendment 21 Rock,CA,Imperial IPA,9.7%,3.360
Great Basin Bristlecone Dopplebock,NV,Doppelbock,7.8%,3.360
Lagunitas Fusion VII,CA,IPA,6.8%,3.360
Titletown Rye Not?,WI,Ale,-,3.360
Terminal BrewHouse Southsidenstein Stout,TN,Stout,-,3.360
Angel City Vitzen,CA,Hefeweizen,5.2%,3.360
Drake's Imperial Harvest Ale,CA,Imperial IPA,8.5%,3.360
Rock Bottom Brickway Brown,CO,Brown Ale,-,3.360
Due South Category 5 (Cat 5) IPA,FL,Imperial IPA,8.8%,3.360
City Steam White Rabbit,CT,Witbier,5.6%,3.360
Buckhead Panther Pale Ale,GA,American Pale Ale,-,3.360
FireHouse Hops on Rye,CA,IPA,7.5%,3.360
Upland Blackberry Lambic,IN,Fruit Lambic,-,3.360
Caldera Kettle Series Rauch Ur Bock,OR,Smoked Ale,7.4%,3.360
Heavyweight Catherine the Great Imperial Stout,NJ,Imperial Stout,10.5%,3.360
Laurelwood Holy Grail Abbey Ale,OR,Abbey Dubbel,6%,3.360
5 Seasons North Connemara Irish Red Ale,GA,Irish Ale,-,3.360
Avery Oak Barrel Salvation,CO,Belgian Strong Ale,9%,3.360
Mother Earth Weeping Willow Wit,NC,Witbier,-,3.360
Southend Ironman Wheat,NC,American Wheat,7%,3.360
Valley Brew Home Honey Im High Holiday Bock,CA,Spiced Beer,7.8%,3.360
Schooner's Alpha Avalanche,CA,Imperial IPA,8.7%,3.360
Vintage Woodshed,WI,IPA,6.5%,3.360
Lost Abbey Saison Blanc,CA,Saison,5.4%,3.360
Moon River Dixie Crystal,GA,Abbey Tripel,10%,3.360
Allagash Gargamel,ME,Fruit Lambic,9.2%,3.360
Oggi's Breakfast Brew,CA,Coffee Stout,-,3.360
Richbrau Barleywine,VA,Baltic Porter,9%,3.360
Terrapin Special Anniversary Ale,GA,Spiced Beer,10%,3.360
Silver Peak I.P.A.,NV,IPA,5.5%,3.360
Iron Hill 2nd Degree IPA²,PA,Imperial IPA,9.8%,3.360
Papago El Robusto Porter,AZ,Baltic Porter,7.5%,3.360
Hawks Imperial Gold Malt Liquor,OR,Strong Lager,9.9%,3.360
Titletown Off Kilter 80 Shilling Scottish Ale,WI,Scottish Ale,-,3.360
Twains Red Wine Sarahmonial Saison,GA,Saison,6.7%,3.360
Southampton Steam Beer,NY,California Common / Steam,4.7%,3.360
General Lafayette La Tete Fontaine,PA,Abbey Dubbel,8.1%,3.360
Copper Creek Smoked Porter,GA,Smoked Ale,-,3.360
Oggi's Sanctuary,CA,Belgian Strong Ale,8.5%,3.360
Titletown St. Norbert Abbey Ale,WI,Belgian Strong Ale,-,3.360
Upstream Ebeneezer,NE,Strong Ale,9%,3.360
Paper City Denogginator,MA,Doppelbock,8%,3.360
Iron Hill Weizenbock,DE,Weizenbock,7.2%,3.360
Occidental Dunkel,OR,Dunkel Weizen,-,3.360
Deschutes Saison de Perle,OR,Saison,7.3%,3.360
Societe The Pupil,CA,IPA,7.7%,3.360
Due South Mexican Standoff Porter,FL,Spiced Beer,8.5%,3.360
Alaskan Hopothermia Double IPA,AK,Imperial IPA,8.5%,3.360
The Commons Berliner Weisse,OR,Berliner Weisse,-,3.360
Karl Strauss Wreck Alley Imperial Stout,CA,Imperial Stout,9.5%,3.360
Green Flash Hop Odyssey Black IPA,CA,American Black Ale,7.2%,3.360
Rockmill Witbier,OH,Witbier,6%,3.360
Marble Reserve Ale,NM,Strong Ale,9%,3.360
Geneva Lake No Wake IPA,WI,IPA,6.9%,3.360
The Commons Little Brother,OR,Belgian Strong Ale,8.5%,3.360
Sierra Nevada Bockness Monster,CA,Bock,-,3.360
The Bruery Praecocia,CA,Old Ale,10.5%,3.360
Due South El Verde Wet Hop Pale Ale,FL,American Pale Ale,4.8%,3.360
Penn Weizen,PA,Hefeweizen,4%,3.359
Elysian Avatar Jasmine IPA,WA,IPA,6.5%,3.359
